id,timestamp,open,close,low,high,volume,wave_signal,dif,flat,green,ema5,ema10,condition1,condition2,tmp_wave,tmp_orphans,condition3,condition4
85,2023-12-07 07:05:00+00,43905.18,43917.53,43903.73,43927.8,12.918058,0,12.349999999998545,False,True,43904.14848887734,43915.80137376228,0,True,False,1,0,False
86,2023-12-07 07:10:00+00,43918.19,43944.52,43918.19,43950.0,10.311627,0,26.32999999999447,False,True,43917.60565925157,43921.0229423362,0,True,False,1,0,False
87,2023-12-07 07:15:00+00,43944.52,43915.17,43912.77,43954.93,10.781272,0,-29.349999999998545,False,False,43916.793772834375,43919.95877097449,0,True,False,0,0,False
88,2023-12-07 07:20:00+00,43911.66,43943.74,43907.27,43944.5,11.431442,0,32.07999999999447,False,True,43925.77584855625,43924.28263088992,1,True,True,0,1,False
89,2023-12-07 07:25:00+00,43943.74,43948.94,43938.02,43952.4,4.327731,1,5.200000000004366,True,True,43933.497232370835,43928.765788988494,1,True,True,0,1,False
90,2023-12-07 07:30:00+00,43948.94,43912.73,43908.58,43948.94,20.199662,1,-36.20999999999913,False,False,43926.57482158056,43925.85019094878,1,True,False,0,0,True
91,2023-12-07 07:35:00+00,43912.74,43897.92,43879.11,43912.74,8.811693,0,-14.819999999999709,False,False,43917.02321438704,43920.77197435307,0,False,False,0,0,True
92,2023-12-07 07:40:00+00,43896.32,43943.44,43885.76,43945.65,13.624906,0,47.12000000000262,False,True,43925.82880959136,43924.89343360116,1,False,False,0,0,False
93,2023-12-07 07:45:00+00,43943.67,43922.28,43905.99,43945.15,12.004829,0,-21.389999999999418,False,False,43924.64587306091,43924.41826385176,1,True,False,1,0,True
94,2023-12-07 07:50:00+00,43922.28,43905.53,43900.72,43922.29,11.79527,0,-16.75,False,False,43918.27391537393,43920.98403403846,0,False,False,0,0,True
95,2023-12-07 07:55:00+00,43905.53,43889.68,43886.68,43908.88,8.540373,0,-15.849999999998545,False,False,43908.74261024929,43915.29239145609,0,False,False,1,0,True
96,2023-12-07 08:00:00+00,43891.03,43858.78,43771.54,43913.33,115.226952,0,-32.25,False,False,43892.08840683286,43905.01741114715,0,False,False,1,0,True
97,2023-12-07 08:05:00+00,43855.43,43852.55,43823.97,43903.86,45.459578,0,-2.8799999999973807,True,True,43878.90893788857,43895.47788181409,0,False,False,1,0,False
98,2023-12-07 08:10:00+00,43845.23,43766.44,43758.12,43875.35,27.510255,0,-78.79000000000087,False,False,43841.41929192571,43872.016448689435,0,False,False,1,0,True
99,2023-12-07 08:15:00+00,43764.3,43750.35,43734.0,43816.76,41.213626,0,-13.950000000004366,False,False,43811.062861283805,43849.89527614834,0,False,False,1,0,True
100,2023-12-07 08:20:00+00,43750.46,43689.99,43667.01,43766.83,34.661241,0,-60.470000000001164,False,False,43770.70524085587,43820.821589519874,0,False,False,1,0,True
101,2023-12-07 08:25:00+00,43687.07,43670.01,43666.0,43754.4,33.096166,0,-17.05999999999767,False,False,43737.14016057058,43793.401300473015,0,False,False,1,0,True
102,2023-12-07 08:30:00+00,43670.0,43697.67,43631.99,43711.59,31.222012,0,27.669999999998254,False,True,43723.98344038039,43775.995609455465,0,False,False,1,0,False
103,2023-12-07 08:35:00+00,43694.11,43706.52,43662.29,43749.95,14.489603,0,12.409999999996217,False,True,43718.16229358693,43763.363680450224,0,False,False,1,0,False
104,2023-12-07 08:40:00+00,43705.05,43728.85,43688.96,43749.87,15.08317,0,23.799999999995634,False,True,43721.72486239128,43757.08846581749,0,False,False,1,0,False
105,2023-12-07 08:45:00+00,43724.17,43691.69,43691.08,43753.79,15.022172,0,-32.479999999995925,False,False,43711.71324159418,43745.19783566045,0,False,False,1,0,True
106,2023-12-07 08:50:00+00,43691.69,43632.97,43628.51,43699.43,46.267665,0,-58.720000000001164,False,False,43685.46549439612,43724.792774619484,0,False,False,1,0,True
107,2023-12-07 08:55:00+00,43631.65,43593.0,43549.21,43642.89,67.199157,0,-38.650000000001455,False,False,43654.64366293075,43700.83045195006,0,False,False,1,0,True
108,2023-12-07 09:00:00+00,43592.99,43544.41,43511.7,43642.75,52.473655,0,-48.57999999999447,False,False,43617.8991086205,43672.39036976631,0,False,False,1,0,True
109,2023-12-07 09:05:00+00,43539.8,43505.56,43470.89,43561.73,63.64813,0,-34.24000000000524,False,False,43580.452739080334,43642.05757525374,0,False,False,1,0,True
110,2023-12-07 09:10:00+00,43509.15,43431.33,43400.0,43521.58,70.164114,0,-77.81999999999971,False,False,43530.74515938689,43603.743470652225,0,False,False,1,0,True
111,2023-12-07 09:15:00+00,43429.08,43254.16,43054.31,43431.25,320.047625,0,-174.91999999999825,False,False,43438.55010625793,43540.18283961107,0,False,False,1,0,True
112,2023-12-07 09:20:00+00,43256.98,43174.42,43124.05,43347.05,122.500851,0,-82.56000000000495,False,False,43350.50673750528,43473.680505124794,0,False,False,1,0,True
113,2023-12-07 09:25:00+00,43174.86,43069.31,42846.53,43224.32,352.917319,0,-105.55000000000291,False,False,43256.774491670185,43400.15859509167,0,False,False,1,0,True
114,2023-12-07 09:30:00+00,43066.65,43166.83,42978.24,43174.4,161.41255,0,100.18000000000029,False,True,43226.79299444679,43357.73521416098,0,False,False,1,0,False
115,2023-12-07 09:35:00+00,43168.84,43190.03,43133.52,43236.57,79.104372,0,21.19000000000233,False,True,43214.53866296453,43327.2433570379,0,False,False,1,0,False
116,2023-12-07 09:40:00+00,43194.43,43358.33,43183.97,43377.65,78.139874,0,163.90000000000146,False,True,43262.46910864302,43332.89547394054,0,True,False,1,0,False
117,2023-12-07 09:45:00+00,43364.55,43500.61,43334.01,43559.97,93.866458,0,136.05999999999767,False,True,43341.84940576201,43363.389024135104,0,True,False,0,0,False
118,2023-12-07 09:50:00+00,43497.32,43476.91,43419.06,43554.24,45.426899,0,-20.409999999996217,False,False,43386.86960384134,43384.02920156616,1,True,False,1,0,True
119,2023-12-07 09:55:00+00,43474.55,43362.98,43345.78,43482.17,57.021457,0,-111.56999999999971,False,False,43378.90640256089,43380.20207400851,0,True,False,0,0,True
120,2023-12-07 10:00:00+00,43362.99,43302.1,43290.77,43443.0,51.533544,0,-60.88999999999942,False,False,43353.304268373926,43366.00169691556,0,False,False,1,0,True
121,2023-12-07 10:05:00+00,43300.78,43318.1,43113.22,43332.39,66.826021,0,17.31999999999971,False,True,43341.56951224928,43357.292297476124,0,False,False,1,0,False
122,2023-12-07 10:10:00+00,43313.72,43162.38,43162.36,43321.36,48.103479,0,-151.34000000000378,False,False,43281.83967483285,43321.85369793418,0,False,False,1,0,True
123,2023-12-07 10:15:00+00,43165.0,43141.8,43119.19,43257.16,32.348987,0,-23.19999999999709,False,False,43235.159783221905,43289.116661945525,0,False,False,1,0,True
124,2023-12-07 10:20:00+00,43139.62,43162.6,43065.95,43227.34,57.649797,0,22.979999999995925,False,True,43210.9731888146,43266.11363250053,0,False,False,1,0,False
125,2023-12-07 10:25:00+00,43162.6,43191.01,43162.6,43265.72,27.895596,0,28.410000000003492,False,True,43204.31879254306,43252.45842659117,0,False,False,1,0,False
126,2023-12-07 10:30:00+00,43192.6,43281.27,43174.68,43314.76,48.921252,0,88.66999999999825,False,True,43229.96919502871,43257.696894483735,0,True,False,1,0,False
127,2023-12-07 10:35:00+00,43281.0,43211.59,43185.36,43297.67,43.475925,0,-69.41000000000349,False,False,43223.84279668581,43249.31382275935,0,True,False,1,0,True
128,2023-12-07 10:40:00+00,43211.59,43235.46,43193.67,43289.98,15.412284,0,23.87000000000262,False,True,43227.71519779054,43246.794945894,0,False,False,1,0,False
129,2023-12-07 10:45:00+00,43239.41,43241.63,43187.02,43252.25,31.591948,0,2.219999999993888,True,True,43232.353465193686,43245.855864822355,0,True,False,1,0,False
130,2023-12-07 10:50:00+00,43242.02,43139.47,43132.94,43247.46,21.468727,0,-102.54999999999563,False,False,43201.39231012912,43226.51298030911,0,False,False,1,0,True
131,2023-12-07 10:55:00+00,43139.24,43139.95,43123.18,43176.72,29.080148,0,0.7099999999991269,True,True,43180.91154008608,43210.77425661649,0,False,False,1,0,False
132,2023-12-07 11:00:00+00,43137.44,43227.19,43112.09,43305.19,258.823058,0,89.75,False,True,43196.33769339072,43213.75893723168,0,False,False,1,0,False
133,2023-12-07 11:05:00+00,43230.09,43150.64,43118.49,43237.21,66.907454,0,-79.44999999999709,False,False,43181.10512892715,43202.28276682589,0,True,False,1,0,False
134,2023-12-07 11:10:00+00,43148.14,43234.64,43148.13,43243.24,37.739261,0,86.5,False,True,43198.95008595143,43208.16590013028,0,False,True,0,1,False
135,2023-12-07 11:15:00+00,43234.64,43283.29,43233.49,43335.04,68.065255,1,48.650000000001455,False,True,43227.063390634285,43221.82482737935,1,True,True,0,1,False
136,2023-12-07 11:20:00+00,43290.75,43385.45,43281.34,43389.36,38.619555,1,94.69999999999709,False,True,43279.858927089525,43251.574858764965,1,True,True,0,1,False
137,2023-12-07 11:25:00+00,43385.45,43363.2,43357.03,43393.31,42.69675,1,-22.25,False,False,43307.63928472635,43271.870338989545,1,True,True,0,0,False
138,2023-12-07 11:30:00+00,43363.2,43292.08,43291.18,43366.32,35.405766,1,-71.11999999999534,False,False,43302.45285648423,43275.54482280963,1,True,False,0,0,True
139,2023-12-07 11:35:00+00,43296.46,43197.17,43192.26,43296.46,41.147978,0,-99.29000000000087,False,False,43267.35857098949,43261.294855026055,1,False,False,0,0,True
140,2023-12-07 11:40:00+00,43197.19,43202.24,43183.62,43232.42,28.168765,0,5.049999999995634,True,True,43245.65238065966,43250.55760865768,0,False,False,1,0,False
141,2023-12-07 11:45:00+00,43202.23,43176.22,43150.23,43225.99,42.899458,0,-26.010000000002037,False,False,43222.50825377311,43237.04167981082,0,False,False,1,0,True
142,2023-12-07 11:50:00+00,43181.13,43229.64,43177.53,43250.91,34.083777,0,48.51000000000204,False,True,43224.885502515404,43235.69591984522,0,False,False,1,0,False
143,2023-12-07 11:55:00+00,43228.6,43189.94,43161.5,43249.8,37.720078,0,-38.65999999999622,False,False,43213.237001676935,43227.37666169154,0,False,False,1,0,True
144,2023-12-07 12:00:00+00,43191.14,43072.41,43014.05,43191.14,122.573756,0,-118.72999999999593,False,False,43166.29466778463,43199.20090502034,0,False,False,1,0,True
145,2023-12-07 12:05:00+00,43067.24,43067.44,43042.07,43121.09,30.405035,0,0.20000000000436557,True,True,43133.34311185642,43175.24437683482,0,False,False,1,0,False
146,2023-12-07 12:10:00+00,43067.44,43068.57,43025.0,43148.09,98.948841,0,1.1299999999973807,True,True,43111.75207457095,43155.849035592124,0,False,False,1,0,False
147,2023-12-07 12:15:00+00,43068.51,43029.5,42983.81,43122.94,59.47371,0,-39.01000000000204,False,False,43084.33471638063,43132.87648366628,0,False,False,1,0,False
148,2023-12-07 12:20:00+00,43026.93,43004.07,42957.67,43069.83,66.548675,0,-22.860000000000582,False,False,43057.579810920426,43109.45712299969,0,False,False,1,0,False
149,2023-12-07 12:25:00+00,43007.73,43179.73,42972.05,43182.95,57.219996,0,172.0,False,True,43098.29654061361,43122.23400972702,0,False,True,1,1,False
150,2023-12-07 12:30:00+00,43176.77,43206.56,43170.98,43259.37,48.292398,1,29.790000000000873,False,True,43134.38436040907,43137.56600795847,0,True,True,0,1,False
151,2023-12-07 12:35:00+00,43205.68,43233.5,43146.73,43241.62,40.357897,1,27.81999999999971,False,True,43167.422906939384,43155.00855196602,1,True,True,0,1,False
152,2023-12-07 12:40:00+00,43235.43,43263.6,43220.75,43267.97,26.73269,1,28.169999999998254,False,True,43199.48193795959,43174.75245160857,1,True,True,0,1,False
153,2023-12-07 12:45:00+00,43265.5,43308.87,43233.16,43312.44,31.173064,1,43.37000000000262,False,True,43235.94462530639,43199.137460407015,1,True,True,0,1,False
154,2023-12-07 12:50:00+00,43309.16,43322.83,43276.22,43324.75,22.190022,1,13.669999999998254,False,True,43264.90641687092,43221.627013060286,1,True,True,0,1,False
155,2023-12-07 12:55:00+00,43324.99,43412.89,43268.69,43416.33,39.114777,1,87.90000000000146,False,True,43314.23427791395,43256.40210159477,1,True,True,0,1,False
156,2023-12-07 13:00:00+00,43412.92,43415.71,43355.64,43513.38,93.129263,1,2.790000000000873,True,True,43348.059518609305,43285.367174032086,1,True,True,0,1,False
157,2023-12-07 13:05:00+00,43417.59,43361.78,43349.3,43463.04,57.388112,1,-55.80999999999767,False,False,43352.6330124062,43299.26041511716,1,True,True,0,0,False
158,2023-12-07 13:10:00+00,43363.05,43326.22,43310.02,43386.45,22.388177,1,-36.830000000001746,False,False,43343.82867493747,43304.162157823135,1,True,False,0,0,True
159,2023-12-07 13:15:00+00,43326.26,43336.87,43292.74,43352.97,62.538471,0,10.610000000000582,False,True,43341.50911662498,43310.10903821893,1,False,False,0,0,False
160,2023-12-07 13:20:00+00,43336.87,43264.55,43252.9,43382.04,52.625973,0,-72.31999999999971,False,False,43315.85607774999,43301.82557672457,1,False,False,1,0,True
161,2023-12-07 13:25:00+00,43261.89,43298.64,43250.01,43304.03,71.798655,0,36.75,False,True,43310.11738516666,43301.24638095647,1,False,False,1,0,False
162,2023-12-07 13:30:00+00,43298.63,43291.95,43256.84,43326.31,91.694705,0,-6.680000000000291,True,True,43304.06159011111,43299.55612987348,1,False,False,1,0,False
163,2023-12-07 13:35:00+00,43287.96,43332.69,43275.87,43350.57,39.107983,0,44.7300000000032,False,True,43313.604393407404,43305.580469896486,1,False,False,1,0,False
164,2023-12-07 13:40:00+00,43332.69,43243.57,43222.63,43335.95,43.973848,0,-89.12000000000262,False,False,43290.25959560493,43294.305839006214,0,False,False,1,0,False
165,2023-12-07 13:45:00+00,43243.46,43229.97,43207.84,43302.98,25.011405,0,-13.489999999997963,False,False,43270.163063736625,43282.608413732356,0,False,False,1,0,False
166,2023-12-07 13:50:00+00,43230.19,43241.12,43193.66,43278.25,47.942496,0,10.930000000000291,False,True,43260.48204249109,43275.06506578102,0,False,True,1,1,False
167,2023-12-07 13:55:00+00,43239.75,43302.89,43224.37,43313.45,25.967249,1,63.13999999999942,False,True,43274.61802832739,43280.124144729925,0,False,True,1,1,False
168,2023-12-07 14:00:00+00,43302.89,43298.46,43250.01,43325.47,30.072529,1,-4.430000000000291,True,True,43282.56535221826,43283.45793659721,0,True,True,0,1,False
169,2023-12-07 14:05:00+00,43299.47,43324.55,43294.38,43334.81,39.918195,1,25.080000000001746,False,True,43296.560234812176,43290.92922085226,1,True,True,0,1,False
170,2023-12-07 14:10:00+00,43324.55,43319.68,43284.74,43351.3,26.67851,1,-4.870000000002619,True,True,43304.26682320811,43296.156635242754,1,True,True,0,1,False
171,2023-12-07 14:15:00+00,43327.02,43268.11,43267.21,43327.02,29.994474,1,-58.90999999999622,False,False,43292.21454880541,43291.0572470168,1,True,True,0,0,False
172,2023-12-07 14:20:00+00,43267.86,43301.11,43264.71,43322.19,17.391091,1,33.25,False,True,43295.1796992036,43292.88502028647,1,False,True,0,1,False
173,2023-12-07 14:25:00+00,43301.11,43388.47,43282.84,43439.24,43.723662,1,87.36000000000058,False,True,43326.276466135736,43310.264107507115,1,True,True,0,1,False
174,2023-12-07 14:30:00+00,43388.83,43440.84,43357.3,43447.7,35.259474,1,52.00999999999476,False,True,43364.464310757154,43334.005178869455,1,True,True,0,1,False
175,2023-12-07 14:35:00+00,43438.51,43418.72,43404.05,43498.04,66.906332,1,-19.790000000000873,False,False,43382.54954050477,43349.40787362046,1,True,True,0,0,False
176,2023-12-07 14:40:00+00,43420.92,43384.52,43381.21,43442.73,50.324301,1,-36.400000000001455,False,False,43383.20636033651,43355.79189659856,1,True,True,0,0,False
177,2023-12-07 14:45:00+00,43384.51,43415.43,43349.37,43434.58,54.469763,1,30.919999999998254,False,True,43393.94757355767,43366.63518812609,1,True,True,0,1,False
178,2023-12-07 14:50:00+00,43415.42,43499.23,43379.92,43506.99,61.153406,1,83.81000000000495,False,True,43429.04171570512,43390.74333573953,1,True,True,0,1,False
179,2023-12-07 14:55:00+00,43500.43,43485.57,43476.54,43532.84,54.31463,1,-14.860000000000582,False,False,43447.884477136744,43407.98454742325,1,True,True,0,0,False
180,2023-12-07 15:00:00+00,43485.58,43562.42,43471.69,43667.86,102.022555,1,76.83999999999651,False,True,43486.06298475783,43436.06372061903,1,True,True,0,1,False
181,2023-12-07 15:05:00+00,43562.59,43571.31,43444.87,43580.57,92.220231,1,8.720000000001164,False,True,43514.47865650522,43460.65395323375,1,True,True,0,1,False
182,2023-12-07 15:10:00+00,43571.32,43561.38,43520.3,43630.06,105.995744,1,-9.940000000002328,False,False,43530.11243767015,43478.96777991852,1,True,True,0,0,False
183,2023-12-07 15:15:00+00,43561.58,43623.66,43542.56,43645.9,74.241685,1,62.080000000001746,False,True,43561.294958446764,43505.27545629697,1,True,True,0,1,False
184,2023-12-07 15:20:00+00,43623.34,43750.59,43610.36,43765.65,95.596655,1,127.25,False,True,43624.39330563117,43549.87810060661,1,True,True,0,1,False
185,2023-12-07 15:25:00+00,43751.33,43842.83,43699.49,43851.37,129.78939,1,91.5,False,True,43697.20553708745,43603.1420823145,1,True,True,0,1,False
186,2023-12-07 15:30:00+00,43846.32,43790.91,43758.98,43930.74,178.114512,1,-55.40999999999622,False,False,43728.440358058295,43637.281703711866,1,True,True,0,0,False
187,2023-12-07 15:35:00+00,43786.08,43833.34,43775.15,43870.29,83.492467,1,47.25999999999476,False,True,43763.4069053722,43672.928666673346,1,True,True,0,1,False
188,2023-12-07 15:40:00+00,43840.72,43831.79,43757.23,43858.36,50.010962,1,-8.930000000000291,False,False,43786.20127024813,43701.81254546001,1,True,True,0,0,False
189,2023-12-07 15:45:00+00,43835.77,43715.22,43676.62,43850.31,77.820685,1,-120.54999999999563,False,False,43762.54084683209,43704.25026446728,1,True,False,0,0,True
190,2023-12-07 15:50:00+00,43712.17,43671.21,43671.2,43776.68,57.477433,0,-40.95999999999913,False,False,43732.09723122139,43698.242943655045,1,False,False,0,0,True
191,2023-12-07 15:55:00+00,43671.2,43670.8,43636.67,43713.36,66.499128,0,-0.39999999999417923,True,True,43711.664820814265,43693.25331753595,1,False,False,1,0,False
192,2023-12-07 16:00:00+00,43670.82,43716.72,43568.83,43719.27,68.525087,0,45.900000000001455,False,True,43713.34988054284,43697.51998707487,1,False,False,1,0,False
193,2023-12-07 16:05:00+00,43714.61,43630.28,43623.18,43742.17,76.789088,0,-84.33000000000175,False,False,43685.65992036189,43685.29453487944,1,False,False,1,0,False
194,2023-12-07 16:10:00+00,43630.27,43629.71,43609.45,43695.3,51.352657,0,-0.5599999999976717,True,True,43667.00994690793,43675.18825581045,0,False,False,1,0,False
195,2023-12-07 16:15:00+00,43629.63,43523.68,43510.06,43645.29,74.701397,0,-105.94999999999709,False,False,43619.23329793862,43647.64130020855,0,False,False,1,0,False
196,2023-12-07 16:20:00+00,43524.86,43590.48,43489.69,43603.6,77.118695,0,65.62000000000262,False,True,43609.64886529241,43637.24833653426,0,False,True,1,1,False
197,2023-12-07 16:25:00+00,43588.43,43661.4,43586.31,43668.95,49.699219,1,72.97000000000116,False,True,43626.89924352828,43641.63954807349,0,False,True,0,1,False
198,2023-12-07 16:30:00+00,43659.96,43745.24,43642.65,43767.42,76.918017,1,85.27999999999884,False,True,43666.34616235219,43660.4759938783,1,True,True,0,1,False
199,2023-12-07 16:35:00+00,43746.84,43696.82,43618.5,43749.03,71.610457,1,-50.0199999999968,False,False,43676.504108234796,43667.083994991335,1,True,True,0,0,False
200,2023-12-07 16:40:00+00,43696.52,43662.9,43613.13,43704.0,80.635344,1,-33.61999999999534,False,False,43671.969405489865,43666.323268629276,1,True,False,0,0,True
