|model_pojazdu|rok_produkcji|przebieg|pojemnosc_skokowa|rodzaj_paliwa|moc|skrzynia_biegow|liczba_drzwi|kolor|rodzaj_koloru|kraj_pochodzenia|data_pierwszej_rejestracji_w_historii_pojazdu|zarejestrowany_w_polsce|stan|tytul|url|cena
23|Countryman|2012|12900|15983|Diesel|112|Manualna|5|Brazowy|nan|nan|nan|nan|Uzywane|MINI Countryman|https://www.otomoto.pl/osobowe/oferta/mini-countryman-1-6-d-4x4-ID6FPuNt.html|40000
24|Cooper|2011|93115|15983|Benzyna|122|Manualna|3|Czarny|nan|Polska|06 pazdziernik 2011|Tak|Uzywane|MINI Cooper|https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-2011r-przebieg-93tys-ID6FRwbl.html|32000
25|ONE|2013|88000|15983|Benzyna|98|Manualna|3|Bialy|Metalik|nan|21 styczen 2014|nan|Uzywane|MINI ONE Baker Street|https://www.otomoto.pl/osobowe/oferta/mini-one-1-6benzyna98kmniski-przebiegladne-wnetrzeauto-z-niemiecfaktura-ID6FUXsi.html|12400
26|Cooper|2012|75200|15983|Benzyna|122|Manualna|2|Srebrny|nan|Francja|nan|nan|Uzywane|MINI Cooper Coupe|https://www.otomoto.pl/osobowe/oferta/mini-cooper-2012-r-1-6-benzyna-coupe-75-przebiegu-raty-ID6FMjnX.html|27900
27|Cooper S|2009|100000|15983|Benzyna|175|Manualna|3|Czerwony|nan|Niemcy|12 grudzien 2009|nan|Uzywane|MINI Cooper S|https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-1-6turbo-maly-ale-wariat-niski-przebieg-bezwypadkowy-ID6FAUt1.html|28905
28|Cooper|2009|96600|15983|Benzyna|115|Manualna|2|Granatowy|nan|nan|nan|nan|Uzywane|MINI Cooper|https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-cabrio-2009-ID6FlzLx.html|19950
29|ONE|2007|97500|13973|Benzyna|95|Manualna|3|Niebieski|Metalik|nan|11 grudzien 2007|Tak|Uzywane|MINI ONE Standard|https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-1-4-benzyna-2007-97-000-km-ID6FPsPp.html|16900
30|Cooper|2014|96545|15983|Benzyna|122|Automatyczna|2|Pomaranczowy|Metalik|nan|styczen 2014|Tak|Uzywane|MINI Cooper|https://www.otomoto.pl/osobowe/oferta/mini-cooper-13065-mini-cooper-cabrio-niski-przebieg-automat-skora-tapicerka-ID6FGkhR.html|36272
31|ONE|2015|93000|11983|Benzyna|102|Manualna|3|Bezowy|Metalik|nan|10 pazdziernik 2015|nan|Uzywane|MINI ONE Blackyard|https://www.otomoto.pl/osobowe/oferta/mini-one-1-2benzyna-102km-zadbany-bezwypadkowy-serwisowany-bez-wkladu-ID6FRq9c.html|39500
32|ONE|2007|94365|15983|Benzyna|90|Manualna|3|Czerwony|nan|Niemcy|27 sierpien 2020|Tak|Uzywane|MINI ONE Standard|https://www.otomoto.pl/osobowe/oferta/mini-one-maly-przebieg-wersja-seven-ID6FNc6F.html|19990
33|Countryman|2014|83031|15983|Diesel|112|Manualna|5|Bialy|nan|Francja|nan|nan|Uzywane|MINI Countryman Cooper D Park Lane Chili|https://www.otomoto.pl/osobowe/oferta/mini-countryman-ID6FSCp9.html|38900
34|Cooper|2014|99271|14993|Benzyna|136|Manualna|3|Czerwony|nan|nan|kwiecien 2018|nan|Uzywane|MINI Cooper|https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-2014-czerwony-1-5-f56-ID6FSBng.html|39999
35|ONE|2009|98400|13973|Benzyna|95|Manualna|3|Bezowy|nan|nan|07 lipiec 2009|nan|Uzywane|MINI ONE Standard|https://www.otomoto.pl/osobowe/oferta/mini-one-super-stan-maly-przebieg-serwis-ID6FQyWF.html|22500
36|ONE|2015|69578|11983|Benzyna|75|Manualna|5|Inny kolor|nan|nan|nan|Tak|Uzywane|MINI ONE|https://www.otomoto.pl/osobowe/oferta/mini-one-stan-bardzo-dobry-zarej-w-kraju-bez-wkladu-finansowego-ID6Fxafo.html|38000
37|Cooper|1993|64300|12763|Benzyna|52|Manualna|2|Czarny|nan|nan|nan|nan|Uzywane|MINI Cooper|https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-silverstone-ID6FP0qv.html|40000
38|ONE|2014|98500|14963|Diesel|95|Manualna|3|Czarny|Metalik|nan|nan|Tak|Uzywane|MINI ONE D|https://www.otomoto.pl/osobowe/oferta/mini-one-bardzo-dobrze-utrzymany-funkcjonalny-i-oszczedny-ID6FU5GJ.html|39900
39|Cooper S|2008|65200|15983|Benzyna|175|Automatyczna|3|Zloty|Metalik|nan|07 styczen 2008|nan|Uzywane|MINI Cooper S|https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-cooper-s-automat-skora-przebieg-65000km-ID6FBa5B.html|36000
40|Cooper S|2010|92150|15983|Benzyna|184|Manualna|3|Niebieski|Metalik|Polska|18 marzec 2011|Tak|Uzywane|MINI Cooper S Standard|https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-mini-cooper-s-salon-polska-xsenon-92tys-184km-ID6FU3WG.html|39900
41|Clubman|2013|93401|15983|Benzyna|184|Manualna|4|Bialy|Metalik|Szwajcaria|nan|nan|Uzywane|MINI Clubman Cooper S|https://www.otomoto.pl/osobowe/oferta/mini-clubman-cooper-s-ID6FNdLX.html|37500
42|Cooper|2013|70000|15983|Benzyna|122|Manualna|2|Czarny|nan|nan|nan|nan|Uzywane|MINI Cooper Standard|https://www.otomoto.pl/osobowe/oferta/mini-cooper-2013-mini-cooper-roadster-r59-ID6FJYmp.html|39500
43|Cooper S|2007|45000|15983|Benzyna|170|Manualna|3|Bezowy|nan|nan|nan|nan|Uzywane|MINI Cooper S Standard|https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-cooper-s-45tys-km-ID6FTm1Y.html|35500
