"Date"|"Open"|"Close"|"Low"|"High"|"Volume"
"2023-01-03"|"130.279999"|"125.07"|"124.169998"|"130.899994"|"112117500"
"2023-01-04"|"126.889999"|"126.360001"|"125.080002"|"128.660004"|"89113600"
"2023-01-05"|"127.129997"|"125.019997"|"124.760002"|"127.769997"|"80962700"
"2023-01-06"|"126.010002"|"129.619995"|"124.889999"|"130.289993"|"87754700"
"2023-01-09"|"130.470001"|"130.149994"|"129.889999"|"133.410004"|"70790800"
"2023-01-10"|"130.259995"|"130.729996"|"128.119995"|"131.259995"|"63896200"
"2023-01-11"|"131.25"|"133.490005"|"130.460007"|"133.509995"|"69458900"
"2023-01-12"|"133.880005"|"133.410004"|"131.440002"|"134.259995"|"71379600"
"2023-01-13"|"132.029999"|"134.759995"|"131.660004"|"134.919998"|"57809700"
"2023-01-17"|"134.830002"|"135.940002"|"134.130005"|"137.289993"|"63646600"
"2023-01-18"|"136.820007"|"135.210007"|"135.029999"|"138.610001"|"69672800"
"2023-01-19"|"134.080002"|"135.270004"|"133.770004"|"136.25"|"58280400"
"2023-01-20"|"135.279999"|"137.869995"|"134.220001"|"138.020004"|"80223600"
"2023-01-23"|"138.119995"|"141.110001"|"137.899994"|"143.320007"|"81760300"
"2023-01-24"|"140.309998"|"142.529999"|"140.300003"|"143.160004"|"66435100"
"2023-01-25"|"140.889999"|"141.860001"|"138.809998"|"142.429993"|"65799300"
"2023-01-26"|"143.169998"|"143.960007"|"141.899994"|"144.25"|"54105100"
"2023-01-27"|"143.160004"|"145.929993"|"143.080002"|"147.229996"|"70555800"
"2023-01-30"|"144.960007"|"143.0"|"142.850006"|"145.550003"|"64015300"
"2023-01-31"|"142.699997"|"144.289993"|"142.279999"|"144.339996"|"65874500"
"2023-02-01"|"143.970001"|"145.429993"|"141.320007"|"146.610001"|"77663600"
"2023-02-02"|"148.899994"|"150.820007"|"148.169998"|"151.179993"|"118339000"
"2023-02-03"|"148.029999"|"154.5"|"147.830002"|"157.380005"|"154357300"
"2023-02-06"|"152.570007"|"151.729996"|"150.779999"|"153.100006"|"69858300"
"2023-02-07"|"150.639999"|"154.649994"|"150.639999"|"155.229996"|"83322600"
"2023-02-08"|"153.880005"|"151.919998"|"151.169998"|"154.580002"|"64120100"
"2023-02-09"|"153.779999"|"150.869995"|"150.419998"|"154.330002"|"56007100"
"2023-02-10"|"149.460007"|"151.009995"|"149.220001"|"151.339996"|"57450700"
"2023-02-13"|"150.949997"|"153.850006"|"150.919998"|"154.259995"|"62199000"
