Oferta od	Marka pojazdu	Model pojazdu	Rok produkcji	Przebieg	Pojemność skokowa	Rodzaj paliwa	Moc	Skrzynia biegów	Liczba drzwi	Kolor	Rodzaj koloru	Kraj pochodzenia	Data pierwszej rejestracji w historii pojazdu	Zarejestrowany w Polsce	Stan	tytul	url	cena
Firma	MINI	Countryman	2012	12900	15983	Diesel	112	Manualna	5	Brązowy					Używane	MINI Countryman	https://www.otomoto.pl/osobowe/oferta/mini-countryman-1-6-d-4x4-ID6FPuNt.html	40000
Prywatne	MINI	Cooper	2011	93115	15983	Benzyna	122	Manualna	3	Czarny		Polska	06 październik 2011	Tak	Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-2011r-przebieg-93tys-ID6FRwbl.html	32000
Firma	MINI	ONE	2013	88000	15983	Benzyna	98	Manualna	3	Biały	Metalik		21 styczeń 2014		Używane	MINI ONE Baker Street	https://www.otomoto.pl/osobowe/oferta/mini-one-1-6benzyna98kmniski-przebiegladne-wnetrzeauto-z-niemiecfaktura-ID6FUXsi.html	12400
Firma	MINI	Cooper	2012	75200	15983	Benzyna	122	Manualna	2	Srebrny		Francja			Używane	MINI Cooper Coupe	https://www.otomoto.pl/osobowe/oferta/mini-cooper-2012-r-1-6-benzyna-coupe-75-przebiegu-raty-ID6FMjnX.html	27900
Prywatne	MINI	Cooper S	2009	100000	15983	Benzyna	175	Manualna	3	Czerwony		Niemcy	12 grudzień 2009		Używane	MINI Cooper S	https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-1-6turbo-maly-ale-wariat-niski-przebieg-bezwypadkowy-ID6FAUt1.html	28905
Prywatne	MINI	Cooper	2009	96600	15983	Benzyna	115	Manualna	2	Granatowy					Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-cabrio-2009-ID6FlzLx.html	19950
Prywatne	MINI	ONE	2007	97500	13973	Benzyna	95	Manualna	3	Niebieski	Metalik		11 grudzień 2007	Tak	Używane	MINI ONE Standard	https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-1-4-benzyna-2007-97-000-km-ID6FPsPp.html	16900
Firma	MINI	Cooper	2014	96545	15983	Benzyna	122	Automatyczna	2	Pomarańczowy	Metalik		styczeń 2014	Tak	Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-13065-mini-cooper-cabrio-niski-przebieg-automat-skora-tapicerka-ID6FGkhR.html	36272
Prywatne	MINI	ONE	2015	93000	11983	Benzyna	102	Manualna	3	Beżowy	Metalik		10 październik 2015		Używane	MINI ONE Blackyard	https://www.otomoto.pl/osobowe/oferta/mini-one-1-2benzyna-102km-zadbany-bezwypadkowy-serwisowany-bez-wkladu-ID6FRq9c.html	39500
Prywatne	MINI	ONE	2007	94365	15983	Benzyna	90	Manualna	3	Czerwony		Niemcy	27 sierpień 2020	Tak	Używane	MINI ONE Standard	https://www.otomoto.pl/osobowe/oferta/mini-one-maly-przebieg-wersja-seven-ID6FNc6F.html	19990
Firma	MINI	Countryman	2014	83031	15983	Diesel	112	Manualna	5	Biały		Francja			Używane	MINI Countryman Cooper D Park Lane Chili	https://www.otomoto.pl/osobowe/oferta/mini-countryman-ID6FSCp9.html	38900
Prywatne	MINI	Cooper	2014	99271	14993	Benzyna	136	Manualna	3	Czerwony			kwiecień 2018		Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-2014-czerwony-1-5-f56-ID6FSBng.html	39999
Prywatne	MINI	ONE	2009	98400	13973	Benzyna	95	Manualna	3	Beżowy			07 lipiec 2009		Używane	MINI ONE Standard	https://www.otomoto.pl/osobowe/oferta/mini-one-super-stan-maly-przebieg-serwis-ID6FQyWF.html	22500
Firma	MINI	ONE	2015	69578	11983	Benzyna	75	Manualna	5	Inny kolor				Tak	Używane	MINI ONE	https://www.otomoto.pl/osobowe/oferta/mini-one-stan-bardzo-dobry-zarej-w-kraju-bez-wkladu-finansowego-ID6Fxafo.html	38000
Prywatne	MINI	Cooper	1993	64300	12763	Benzyna	52	Manualna	2	Czarny					Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-silverstone-ID6FP0qv.html	40000
Prywatne	MINI	ONE	2014	98500	14963	Diesel	95	Manualna	3	Czarny	Metalik			Tak	Używane	MINI ONE D	https://www.otomoto.pl/osobowe/oferta/mini-one-bardzo-dobrze-utrzymany-funkcjonalny-i-oszczedny-ID6FU5GJ.html	39900
Prywatne	MINI	Cooper S	2008	65200	15983	Benzyna	175	Automatyczna	3	Złoty	Metalik		07 styczeń 2008		Używane	MINI Cooper S	https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-cooper-s-automat-skora-przebieg-65000km-ID6FBa5B.html	36000
Prywatne	MINI	Cooper S	2010	92150	15983	Benzyna	184	Manualna	3	Niebieski	Metalik	Polska	18 marzec 2011	Tak	Używane	MINI Cooper S Standard	https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-mini-cooper-s-salon-polska-xsenon-92tys-184km-ID6FU3WG.html	39900
Firma	MINI	Clubman	2013	93401	15983	Benzyna	184	Manualna	4	Biały	Metalik	Szwajcaria			Używane	MINI Clubman Cooper S	https://www.otomoto.pl/osobowe/oferta/mini-clubman-cooper-s-ID6FNdLX.html	37500
Prywatne	MINI	Cooper	2013	70000	15983	Benzyna	122	Manualna	2	Czarny					Używane	MINI Cooper Standard	https://www.otomoto.pl/osobowe/oferta/mini-cooper-2013-mini-cooper-roadster-r59-ID6FJYmp.html	39500
Prywatne	MINI	Cooper S	2007	45000	15983	Benzyna	170	Manualna	3	Beżowy					Używane	MINI Cooper S Standard	https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-cooper-s-45tys-km-ID6FTm1Y.html	35500
